2025-04-28 12:22:39,393 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:23:38,968 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:26:22,265 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:29:07,809 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 12:29:26,806 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 18:53:24,227 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 18:57:11,055 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 18:58:46,028 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:00:34,192 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:00:55,847 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-28 19:00:55,847 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-28 19:00:55,874 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-28 19:00:55,914 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-28 19:01:02,287 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-28 19:01:02,288 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-28 19:01:02,288 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-28 19:01:02,288 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-28 19:01:02,288 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-28 19:01:02,288 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-28 19:01:02,288 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-28 19:01:14,306 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:03:47,709 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:05:46,066 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:10:36,449 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:12:36,557 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:14:03,777 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:16:16,610 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:18:45,123 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:25:05,617 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
