2025-04-28 23:04:32,707 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:05:54,984 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:05:57,530 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:07:03,256 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:09:03,394 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:09:10,607 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:09:13,576 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:10:36,014 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:11:31,605 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:11:43,219 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:11:45,687 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:12:16,724 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:12:25,455 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:12:27,987 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:13:11,375 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:13:23,269 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:13:25,751 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:14:05,217 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:14:16,885 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:14:19,465 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:14:39,867 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:15:32,460 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:15:35,020 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:17:42,287 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:19:15,694 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:20:13,447 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-28 23:21:04,700 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-28 23:21:07,399 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-28 23:24:56,740 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:26:30,720 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:27:26,344 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:28:19,784 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:30:17,111 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:30:56,422 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:31:43,180 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:32:26,821 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:33:02,255 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:34:38,797 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:35:22,432 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:38:45,962 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:39:42,453 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:40:40,441 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:46:18,132 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:46:53,187 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-28 23:48:04,291 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
