2025-05-14 02:53:08,526 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 02:53:11,619 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 02:56:19,060 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 02:57:53,921 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 02:57:56,543 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 02:59:18,445 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 02:59:40,591 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 02:59:40,592 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 02:59:40,593 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 02:59:40,593 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 02:59:40,594 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:00:37,711 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:00:44,272 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:01:43,706 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:02:10,204 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:02:10,204 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:02:10,205 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:02:10,205 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:02:10,206 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:02:10,345 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:02:13,013 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:03:30,658 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:04:21,071 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:04:21,072 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:04:21,073 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:04:21,074 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:04:21,074 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:04:21,380 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:04:26,213 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:05:37,707 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:05:52,440 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:05:52,440 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:05:52,441 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:05:52,442 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:05:52,443 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:05:53,034 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:05:55,705 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:06:02,118 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:06:07,285 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:06:11,980 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:07:32,818 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:08:15,059 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:08:15,060 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:08:15,061 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:08:15,062 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:08:15,062 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:08:15,429 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:08:18,057 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:08:53,932 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:13:04,745 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:13:04,746 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:13:04,747 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:13:04,748 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:13:04,748 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:13:05,064 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:13:09,031 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:14:58,898 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:19:18,736 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:19:18,738 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:19:18,739 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:19:18,739 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:19:18,740 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:19:18,983 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:19:21,566 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:20:42,077 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:21:28,318 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:21:28,320 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:21:28,320 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:21:28,321 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:21:28,322 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:21:28,709 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:21:32,276 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:23:38,765 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:24:04,370 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:24:07,649 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:24:34,022 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:26:02,461 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:26:02,461 | MainThread   | [INFO    ] | <module>            |: info
